# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links,,,,,,,
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag,avg_real_curr
70559,4.545086,-0.025668,-0.046222,-0.073362,-1.782019,3.165687,0.905615
17127,0.014517,-0.000747,0,0,0,0,0.004839
F5269,0.014517,-0.000747,0,0,0,0,0.004839
17134,0.014517,-0.000747,0,0,0,0,0.004839
17038,0.014517,-0.000747,0,0,0,0,0.004839
T62462169245,0.014517,-0.000747,0,0,0,0,0.004839
16489,4.530568,-0.024921,-0.046222,-0.073362,-1.782019,3.165687,0.900776
T62462169442,0,0,0,0,-0.324275,0.576049,-0.108091666666667
16792,4.530568,-0.024921,-0.046222,-0.073362,0,0,1.494782
16676,4.530568,-0.024921,-0.03836,-0.061092,0,0,1.49740266666667
16401,4.530568,-0.024921,-0.03836,-0.061092,0,0,1.49740266666667
16246,4.530568,-0.024921,-0.03836,-0.061092,0,0,1.49740266666667
T62462162948,0,0,-0.014774,-0.024283,0,0,-0.00492466666666667
16149,4.530568,-0.024921,0,0,0,0,1.51018933333333
15947,4.530568,-0.024921,0,0,0,0,1.51018933333333
15809,4.530568,-0.024921,0,0,0,0,1.51018933333333
14973,4.530568,-0.024921,0,0,0,0,1.51018933333333
15558,4.530568,-0.024921,0,0,0,0,1.51018933333333
15185,4.530568,-0.024921,0,0,0,0,1.51018933333333
15040,4.530568,-0.024921,0,0,0,0,1.51018933333333
68161,4.530568,-0.024921,0,0,0,0,1.51018933333333
F5552,4.530568,-0.024921,0,0,0,0,1.51018933333333
15042,4.530568,-0.024921,0,0,0,0,1.51018933333333
T62462091135,4.530568,-0.024921,0,0,0,0,1.51018933333333
15048,0,0,0,0,0,0,0
SW1039-Bx1,0,0,0,0,0,0,0
SW1039-Ax1,0,0,0,0,0,0,0
15051,0,0,0,0,0,0,0
57731,0,0,0,0,0,0,0
F5593,0,0,0,0,0,0,0
15305,0,0,0,0,0,0,0
15028,0,0,0,0,0,0,0
14601,0,0,0,0,0,0,0
14763,0,0,0,0,0,0,0
14665,0,0,0,0,0,0,0
16237,0,0,-0.023586,-0.036809,0,0,-0.007862
F7514,0,0,-0.023586,-0.036809,0,0,-0.007862
16229,0,0,-0.023586,-0.036809,0,0,-0.007862
16209,0,0,-0.023586,-0.036809,0,0,-0.007862
72473,0,0,0,0,0,0,0
72474,0,0,0,0,0,0,0
72475,0,0,0,0,0,0,0
16194,0,0,-0.023586,-0.036809,0,0,-0.007862
T62462101267,0,0,-0.007862,-0.01227,0,0,-0.00262066666666667
16109,0,0,-0.007862,-0.01227,0,0,-0.00262066666666667
T62462100224,0,0,-0.007862,-0.01227,0,0,-0.00262066666666667
15631,0,0,-0.007862,-0.01227,0,0,-0.00262066666666667
T62462101338,0,0,-0.007862,-0.01227,0,0,-0.00262066666666667
